Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,1254.8,4549.5,4549.5,6299.3
2.0,1242.7,4546.5,4550.3,6299.4
3.0,1253.2,4548.7,4550.1,6296.4
4.0,1242.2,4548.1,4550.0,6298.0
5.0,1252.6,4545.2,4550.0,6297.4
6.0,1223.6,4580.3,4550.0,6296.1
7.0,1194.3,4607.4,4550.0,6295.7
8.0,1166.3,4636.5,4550.0,6295.3
9.0,1140.8,4661.9,4550.0,6295.0
10.0,1116.9,4685.7,4550.0,6294.6
11.0,1094.5,4710.4,4550.0,6294.3
12.0,1072.9,4732.3,4550.0,6294.1
13.0,1052.8,4752.8,4550.0,6293.8
14.0,1034.5,4770.7,4550.0,6294.2
15.0,1018.1,4790.0,4550.0,6294.6
16.0,1002.8,4805.5,4550.0,6294.9
17.0,987.8,4822.5,4550.0,6294.6
18.0,973.7,4837.2,4550.0,6294.3
19.0,960.6,4848.3,4550.0,6294.0
20.0,948.3,4860.0,4550.0,6293.8
21.0,936.8,4871.0,4550.0,6293.5
22.0,925.4,4881.3,4550.0,6293.3
23.0,914.7,4892.1,4550.0,6293.1
24.0,896.1,4908.1,4550.0,6293.3
25.0,879.1,4922.1,4550.0,6293.5
26.0,864.2,4933.1,4550.0,6294.1
27.0,851.8,4945.1,4550.0,6293.6
28.0,841.6,4954.5,4550.0,6293.1
29.0,831.4,4962.7,4550.0,6292.7
30.0,820.3,4975.5,4550.0,6292.2
31.0,807.9,4986.1,4550.0,6293.0
32.0,795.5,4997.7,4550.0,6294.3
33.0,784.8,5002.8,4550.0,6295.1
34.0,776.1,5013.1,4550.0,6296.4
35.0,766.7,5023.4,4550.0,6297.2
36.0,762.6,5033.6,4550.0,6298.3
37.0,773.7,5035.1,4550.0,6298.0
